Model,Scale,N_seeds,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,LPIPS_mean,LPIPS_std,MAE_mean,MAE_std,RMSE_mean,RMSE_std
siren,2,10,28.5136,0.0355,0.8075,0.0022,0.3572,0.0025,0.0234,0.0001,0.0375,0.0001
siren,4,10,26.4677,0.0210,0.6941,0.0021,0.4497,0.0022,0.0294,0.0001,0.0475,0.0001
siren,8,10,24.4781,0.0104,0.5635,0.0008,0.5944,0.0024,0.0384,0.0001,0.0597,0.0001
siren,16,10,22.9032,0.0050,0.5145,0.0008,0.6868,0.0010,0.0483,0.0001,0.0716,0.0001
fr,2,10,24.7482,0.0479,0.5709,0.0021,0.5951,0.0027,0.0365,0.0002,0.0579,0.0003
fr,4,10,24.1605,0.0390,0.5440,0.0013,0.6486,0.0026,0.0398,0.0002,0.0619,0.0003
fr,8,10,23.0683,0.0541,0.5139,0.0013,0.6888,0.0019,0.0470,0.0004,0.0702,0.0004
fr,16,10,21.6622,0.1307,0.4857,0.0029,0.6965,0.0050,0.0586,0.0012,0.0826,0.0013
wire,2,10,26.7278,0.0569,0.6937,0.0041,0.4972,0.0036,0.0285,0.0002,0.0461,0.0003
wire,4,10,24.7625,0.0379,0.5676,0.0019,0.6210,0.0030,0.0367,0.0002,0.0578,0.0003
wire,8,10,23.4949,0.0164,0.5257,0.0005,0.6440,0.0009,0.0445,0.0001,0.0669,0.0001
wire,16,10,22.0261,0.0455,0.4966,0.0011,0.6341,0.0006,0.0557,0.0004,0.0792,0.0004
finer,2,10,23.7176,0.0265,0.5308,0.0007,0.6519,0.0018,0.0425,0.0002,0.0652,0.0002
finer,4,10,22.3817,0.0737,0.5045,0.0011,0.6335,0.0009,0.0518,0.0005,0.0760,0.0006
finer,8,10,21.0442,0.0790,0.4798,0.0021,0.6278,0.0003,0.0632,0.0007,0.0887,0.0008
finer,16,10,20.0955,0.0816,0.4659,0.0013,0.6285,0.0007,0.0723,0.0007,0.0989,0.0009
mfn,2,10,26.3403,0.0454,0.6864,0.0025,0.5001,0.0018,0.0323,0.0002,0.0482,0.0003
mfn,4,10,24.4833,0.0881,0.5485,0.0073,0.5597,0.0034,0.0416,0.0005,0.0597,0.0006
mfn,8,10,15.0521,0.4985,0.2846,0.0168,0.7533,0.0458,0.1330,0.0072,0.1771,0.0101
mfn,16,10,10.0928,0.5053,0.1962,0.0580,0.7751,0.0702,0.2519,0.0169,0.3134,0.0182
incode,2,10,25.0343,0.2401,0.5835,0.0135,0.5934,0.0205,0.0351,0.0012,0.0560,0.0016
incode,4,10,24.3594,0.1576,0.5507,0.0059,0.6476,0.0082,0.0387,0.0009,0.0606,0.0011
incode,8,10,22.9218,0.3897,0.5132,0.0076,0.6521,0.0103,0.0482,0.0030,0.0715,0.0033
incode,16,10,17.9363,0.5380,0.4413,0.0075,0.6301,0.0012,0.0941,0.0066,0.1271,0.0077
gauss,2,10,25.5549,0.0883,0.6162,0.0057,0.5474,0.0067,0.0330,0.0003,0.0527,0.0005
gauss,4,10,23.1581,0.2464,0.5201,0.0049,0.6456,0.0068,0.0459,0.0016,0.0695,0.0019
gauss,8,10,20.7764,0.1094,0.4804,0.0022,0.6286,0.0005,0.0647,0.0010,0.0915,0.0011
gauss,16,10,17.4299,0.2751,0.4197,0.0086,0.6361,0.0018,0.1055,0.0048,0.1345,0.0043
fourier,2,10,26.8036,0.0530,0.7010,0.0035,0.4561,0.0027,0.0291,0.0002,0.0457,0.0003
fourier,4,10,25.5973,0.0357,0.6150,0.0025,0.5189,0.0029,0.0338,0.0001,0.0525,0.0002
fourier,8,10,23.8383,0.0361,0.5124,0.0027,0.6005,0.0027,0.0441,0.0003,0.0643,0.0003
fourier,16,10,20.5200,0.1841,0.3905,0.0076,0.6624,0.0026,0.0719,0.0019,0.0942,0.0020
