epoch,train_loss,train_iou,lr
1,0.659184,0.01880,1.00e-04
2,0.544082,0.00000,1.00e-04
3,0.420916,0.00000,1.00e-04
4,0.348548,0.04219,1.00e-04
5,0.297686,0.47989,1.00e-04
6,0.235145,0.76607,1.00e-04
7,0.150211,0.86581,1.00e-04
8,0.095338,0.89464,1.00e-04
9,0.075730,0.90894,9.99e-05
10,0.065794,0.91802,9.99e-05
11,0.059866,0.92464,9.99e-05
12,0.055155,0.92953,9.99e-05
13,0.052101,0.93336,9.99e-05
14,0.049261,0.93695,9.98e-05
15,0.046771,0.93997,9.98e-05
16,0.046079,0.94003,9.98e-05
17,0.044454,0.94138,9.98e-05
18,0.042964,0.94408,9.97e-05
19,0.042238,0.94486,9.97e-05
20,0.041266,0.94522,9.96e-05
21,0.039745,0.94795,9.96e-05
22,0.039891,0.94631,9.96e-05
23,0.040108,0.94536,9.95e-05
24,0.038336,0.94890,9.95e-05
25,0.037111,0.95083,9.94e-05
26,0.036718,0.95163,9.94e-05
27,0.036052,0.95192,9.93e-05
28,0.035342,0.95252,9.93e-05
29,0.034915,0.95256,9.92e-05
30,0.034473,0.95403,9.92e-05
31,0.033631,0.95470,9.91e-05
32,0.033617,0.95558,9.91e-05
33,0.033915,0.95419,9.90e-05
34,0.033922,0.95392,9.89e-05
35,0.031844,0.95769,9.89e-05
36,0.031837,0.95739,9.88e-05
37,0.033022,0.95459,9.87e-05
38,0.032238,0.95648,9.87e-05
39,0.031626,0.95713,9.86e-05
40,0.031555,0.95722,9.85e-05
41,0.032085,0.95633,9.84e-05
42,0.030536,0.95824,9.84e-05
43,0.031163,0.95756,9.83e-05
44,0.031380,0.95718,9.82e-05
45,0.030317,0.95843,9.81e-05
46,0.029813,0.95991,9.80e-05
47,0.029741,0.95972,9.79e-05
48,0.028981,0.96112,9.79e-05
49,0.028409,0.96208,9.78e-05
50,0.028111,0.96261,9.77e-05
51,0.028757,0.96062,9.76e-05
52,0.028080,0.96223,9.75e-05
53,0.028984,0.95967,9.74e-05
54,0.029308,0.95954,9.73e-05
55,0.027865,0.96197,9.72e-05
56,0.027538,0.96366,9.71e-05
57,0.028506,0.96071,9.70e-05
58,0.028439,0.96166,9.69e-05
59,0.027494,0.96174,9.67e-05
60,0.026879,0.96367,9.66e-05
61,0.027920,0.96100,9.65e-05
62,0.027444,0.96197,9.64e-05
63,0.026319,0.96492,9.63e-05
64,0.026713,0.96397,9.62e-05
65,0.028209,0.96065,9.61e-05
66,0.026909,0.96317,9.59e-05
67,0.026879,0.96284,9.58e-05
68,0.026736,0.96375,9.57e-05
69,0.026570,0.96352,9.56e-05
70,0.025217,0.96645,9.54e-05
71,0.026066,0.96440,9.53e-05
72,0.026286,0.96357,9.52e-05
73,0.026384,0.96340,9.50e-05
74,0.025992,0.96433,9.49e-05
75,0.025751,0.96528,9.47e-05
76,0.025315,0.96564,9.46e-05
77,0.025320,0.96534,9.45e-05
78,0.025883,0.96431,9.43e-05
79,0.025225,0.96592,9.42e-05
80,0.024162,0.96739,9.40e-05
81,0.024681,0.96654,9.39e-05
82,0.024737,0.96648,9.37e-05
83,0.024042,0.96701,9.36e-05
84,0.024916,0.96536,9.34e-05
85,0.023830,0.96752,9.33e-05
86,0.024260,0.96707,9.31e-05
87,0.024403,0.96661,9.29e-05
88,0.024141,0.96715,9.28e-05
89,0.024074,0.96751,9.26e-05
90,0.024329,0.96650,9.25e-05
91,0.023542,0.96876,9.23e-05
92,0.023799,0.96775,9.21e-05
93,0.023908,0.96719,9.20e-05
94,0.024903,0.96509,9.18e-05
95,0.023278,0.96799,9.16e-05
96,0.023665,0.96726,9.14e-05
97,0.022916,0.96899,9.13e-05
98,0.022862,0.96871,9.11e-05
99,0.023151,0.96845,9.09e-05
100,0.022979,0.96911,9.07e-05
101,0.024458,0.96571,9.05e-05
102,0.023655,0.96737,9.04e-05
103,0.023177,0.96852,9.02e-05
104,0.022195,0.97006,9.00e-05
105,0.022452,0.96973,8.98e-05
106,0.023640,0.96721,8.96e-05
107,0.022050,0.97049,8.94e-05
108,0.022225,0.97017,8.92e-05
109,0.022888,0.96808,8.90e-05
110,0.022417,0.96941,8.88e-05
111,0.022208,0.96988,8.86e-05
112,0.022817,0.96929,8.84e-05
113,0.022246,0.96942,8.82e-05
114,0.022128,0.96965,8.80e-05
115,0.022976,0.96806,8.78e-05
116,0.022254,0.96985,8.76e-05
117,0.022128,0.96973,8.74e-05
118,0.022882,0.96792,8.72e-05
119,0.022148,0.96937,8.70e-05
120,0.021631,0.97074,8.68e-05
121,0.021346,0.97086,8.66e-05
122,0.021295,0.97112,8.64e-05
123,0.021193,0.97140,8.62e-05
124,0.021513,0.97067,8.59e-05
125,0.020989,0.97144,8.57e-05
126,0.020590,0.97211,8.55e-05
127,0.020761,0.97150,8.53e-05
128,0.021719,0.97041,8.51e-05
129,0.021052,0.97140,8.48e-05
130,0.021170,0.97068,8.46e-05
131,0.020954,0.97144,8.44e-05
132,0.020459,0.97177,8.42e-05
133,0.021128,0.97058,8.39e-05
134,0.020815,0.97171,8.37e-05
135,0.020745,0.97151,8.35e-05
136,0.020364,0.97236,8.32e-05
137,0.021092,0.97101,8.30e-05
138,0.020619,0.97172,8.28e-05
139,0.021136,0.97063,8.25e-05
140,0.021326,0.97005,8.23e-05
141,0.020143,0.97252,8.21e-05
142,0.020636,0.97151,8.18e-05
143,0.020021,0.97252,8.16e-05
144,0.020219,0.97254,8.13e-05
145,0.019988,0.97274,8.11e-05
146,0.020885,0.97071,8.08e-05
147,0.020208,0.97210,8.06e-05
148,0.020200,0.97211,8.03e-05
149,0.020447,0.97110,8.01e-05
150,0.019825,0.97294,7.98e-05
151,0.020162,0.97247,7.96e-05
152,0.020563,0.97153,7.93e-05
153,0.019559,0.97332,7.91e-05
154,0.019436,0.97322,7.88e-05
155,0.020891,0.97051,7.86e-05
156,0.020197,0.97219,7.83e-05
157,0.019109,0.97379,7.81e-05
158,0.019415,0.97339,7.78e-05
159,0.019612,0.97258,7.75e-05
160,0.019149,0.97367,7.73e-05
161,0.018564,0.97514,7.70e-05
162,0.018898,0.97426,7.68e-05
163,0.019232,0.97332,7.65e-05
164,0.018096,0.97577,7.62e-05
165,0.018016,0.97592,7.60e-05
166,0.018586,0.97471,7.57e-05
167,0.019569,0.97279,7.54e-05
168,0.019550,0.97280,7.52e-05
169,0.018292,0.97564,7.49e-05
170,0.018239,0.97541,7.46e-05
171,0.018743,0.97427,7.43e-05
172,0.018866,0.97431,7.41e-05
173,0.018880,0.97357,7.38e-05
174,0.017847,0.97617,7.35e-05
175,0.019258,0.97341,7.32e-05
176,0.019254,0.97324,7.30e-05
177,0.018225,0.97508,7.27e-05
178,0.019001,0.97353,7.24e-05
179,0.018670,0.97406,7.21e-05
180,0.017868,0.97615,7.19e-05
181,0.018434,0.97420,7.16e-05
182,0.017553,0.97595,7.13e-05
183,0.017857,0.97564,7.10e-05
184,0.018039,0.97579,7.07e-05
185,0.017229,0.97706,7.04e-05
186,0.017935,0.97525,7.02e-05
187,0.018000,0.97518,6.99e-05
188,0.018281,0.97491,6.96e-05
189,0.017835,0.97535,6.93e-05
190,0.017528,0.97594,6.90e-05
191,0.017891,0.97541,6.87e-05
192,0.018757,0.97358,6.84e-05
193,0.018421,0.97429,6.81e-05
194,0.017404,0.97627,6.79e-05
195,0.017047,0.97660,6.76e-05
196,0.016907,0.97680,6.73e-05
197,0.017448,0.97638,6.70e-05
198,0.017831,0.97525,6.67e-05
199,0.017363,0.97557,6.64e-05
200,0.016400,0.97808,6.61e-05
201,0.017805,0.97479,6.58e-05
202,0.017006,0.97688,6.55e-05
203,0.016980,0.97679,6.52e-05
204,0.017372,0.97612,6.49e-05
205,0.016411,0.97825,6.46e-05
206,0.017161,0.97600,6.43e-05
207,0.016529,0.97773,6.40e-05
208,0.016613,0.97721,6.37e-05
209,0.017429,0.97605,6.34e-05
210,0.017506,0.97552,6.31e-05
211,0.017142,0.97652,6.28e-05
212,0.016873,0.97656,6.25e-05
213,0.016308,0.97771,6.22e-05
214,0.016563,0.97737,6.19e-05
215,0.016543,0.97736,6.16e-05
216,0.016535,0.97741,6.13e-05
217,0.015648,0.97925,6.10e-05
218,0.015641,0.97905,6.07e-05
219,0.015768,0.97862,6.04e-05
220,0.015673,0.97909,6.01e-05
221,0.015433,0.97959,5.98e-05
222,0.015960,0.97819,5.95e-05
223,0.016094,0.97819,5.92e-05
224,0.016213,0.97813,5.89e-05
225,0.016039,0.97795,5.86e-05
226,0.015638,0.97877,5.82e-05
227,0.015938,0.97836,5.79e-05
228,0.016387,0.97704,5.76e-05
229,0.016209,0.97753,5.73e-05
230,0.015815,0.97836,5.70e-05
231,0.015831,0.97824,5.67e-05
232,0.015857,0.97864,5.64e-05
233,0.017826,0.97489,5.61e-05
234,0.015994,0.97823,5.58e-05
235,0.015331,0.97958,5.55e-05
236,0.015959,0.97840,5.52e-05
237,0.016073,0.97771,5.48e-05
238,0.015615,0.97892,5.45e-05
239,0.015852,0.97817,5.42e-05
240,0.015220,0.97934,5.39e-05
241,0.015507,0.97886,5.36e-05
242,0.015973,0.97790,5.33e-05
243,0.015531,0.97888,5.30e-05
244,0.015668,0.97876,5.27e-05
245,0.015806,0.97815,5.24e-05
246,0.015179,0.97938,5.21e-05
247,0.014565,0.98044,5.17e-05
248,0.014802,0.98045,5.14e-05
249,0.015073,0.97949,5.11e-05
250,0.015222,0.97925,5.08e-05
251,0.015099,0.97939,5.05e-05
252,0.015010,0.97975,5.02e-05
253,0.015798,0.97826,4.99e-05
254,0.015250,0.97875,4.96e-05
255,0.014668,0.98058,4.93e-05
256,0.014440,0.98046,4.89e-05
257,0.014850,0.98020,4.86e-05
258,0.014648,0.97981,4.83e-05
259,0.014880,0.97962,4.80e-05
260,0.014794,0.97997,4.77e-05
261,0.014450,0.98062,4.74e-05
