timestamp,model,scale,seed,config,psnr,ssim,lpips,score,mae,rmse,error_std,epochs,lr,loss
2026-04-26 15:38:14,siren,2,0,"first_omega_0=80.0, hidden_omega_0=30.0",28.5673,0.8110,0.3545,34.9047,0.0233,0.0373,0.0270,100,0.0001,mse
2026-04-26 16:43:46,siren,2,1,"first_omega_0=80.0, hidden_omega_0=30.0",28.4863,0.8054,0.3575,34.7530,0.0236,0.0376,0.0272,100,0.0001,mse
2026-04-26 17:41:36,siren,2,2,"first_omega_0=80.0, hidden_omega_0=30.0",28.5501,0.8099,0.3556,34.8714,0.0233,0.0374,0.0270,100,0.0001,mse
2026-04-26 18:37:47,siren,2,3,"first_omega_0=80.0, hidden_omega_0=30.0",28.4744,0.8053,0.3576,34.7398,0.0236,0.0377,0.0273,100,0.0001,mse
2026-04-26 19:49:11,siren,2,4,"first_omega_0=80.0, hidden_omega_0=30.0",28.4904,0.8060,0.3578,34.7620,0.0235,0.0376,0.0272,100,0.0001,mse
2026-04-26 20:52:30,siren,2,5,"first_omega_0=80.0, hidden_omega_0=30.0",28.5202,0.8079,0.3559,34.8197,0.0234,0.0375,0.0271,100,0.0001,mse
2026-04-26 21:48:30,siren,2,6,"first_omega_0=80.0, hidden_omega_0=30.0",28.5197,0.8085,0.3569,34.8202,0.0234,0.0375,0.0271,100,0.0001,mse
2026-04-26 22:35:10,siren,2,7,"first_omega_0=80.0, hidden_omega_0=30.0",28.5000,0.8059,0.3583,34.7677,0.0235,0.0376,0.0271,100,0.0001,mse
2026-04-26 23:21:04,siren,2,8,"first_omega_0=80.0, hidden_omega_0=30.0",28.5652,0.8103,0.3541,34.8976,0.0233,0.0373,0.0269,100,0.0001,mse
2026-04-27 00:06:19,siren,2,9,"first_omega_0=80.0, hidden_omega_0=30.0",28.4623,0.8048,0.3634,34.6930,0.0236,0.0377,0.0273,100,0.0001,mse
2026-04-28 00:01:31,siren,4,0,"first_omega_0=80.0, hidden_omega_0=30.0",26.5025,0.6975,0.4463,31.2461,0.0293,0.0473,0.0352,100,0.0001,mse
2026-04-28 00:21:46,siren,4,1,"first_omega_0=80.0, hidden_omega_0=30.0",26.4344,0.6905,0.4529,31.0743,0.0296,0.0477,0.0354,100,0.0001,mse
2026-04-28 00:39:47,siren,4,2,"first_omega_0=80.0, hidden_omega_0=30.0",26.4874,0.6958,0.4473,31.2089,0.0293,0.0474,0.0353,100,0.0001,mse
2026-04-28 00:54:31,siren,4,3,"first_omega_0=80.0, hidden_omega_0=30.0",26.4533,0.6931,0.4522,31.1231,0.0294,0.0476,0.0354,100,0.0001,mse
2026-04-28 01:08:29,siren,4,4,"first_omega_0=80.0, hidden_omega_0=30.0",26.4801,0.6950,0.4491,31.1843,0.0294,0.0474,0.0353,100,0.0001,mse
2026-04-28 01:24:50,siren,4,5,"first_omega_0=80.0, hidden_omega_0=30.0",26.4793,0.6953,0.4483,31.1913,0.0294,0.0474,0.0353,100,0.0001,mse
2026-04-28 01:42:15,siren,4,6,"first_omega_0=80.0, hidden_omega_0=30.0",26.4783,0.6955,0.4485,31.1908,0.0294,0.0474,0.0353,100,0.0001,mse
2026-04-28 01:58:53,siren,4,7,"first_omega_0=80.0, hidden_omega_0=30.0",26.4467,0.6920,0.4510,31.1117,0.0295,0.0476,0.0354,100,0.0001,mse
2026-04-28 02:12:26,siren,4,8,"first_omega_0=80.0, hidden_omega_0=30.0",26.4726,0.6946,0.4491,31.1732,0.0294,0.0475,0.0353,100,0.0001,mse
2026-04-28 02:26:27,siren,4,9,"first_omega_0=80.0, hidden_omega_0=30.0",26.4428,0.6916,0.4528,31.0950,0.0295,0.0476,0.0354,100,0.0001,mse
2026-05-01 13:28:35,siren,8,0,"first_omega_0=80.0, hidden_omega_0=30.0",24.4951,0.5647,0.5909,27.1876,0.0383,0.0596,0.0435,100,0.0001,mse
2026-05-01 13:33:54,siren,8,1,"first_omega_0=80.0, hidden_omega_0=30.0",24.4698,0.5623,0.5964,27.1107,0.0385,0.0598,0.0436,100,0.0001,mse
2026-05-01 13:38:45,siren,8,2,"first_omega_0=80.0, hidden_omega_0=30.0",24.4792,0.5637,0.5945,27.1437,0.0384,0.0597,0.0436,100,0.0001,mse
2026-05-01 13:43:14,siren,8,3,"first_omega_0=80.0, hidden_omega_0=30.0",24.4624,0.5627,0.5998,27.0899,0.0385,0.0598,0.0437,100,0.0001,mse
2026-05-01 13:47:42,siren,8,4,"first_omega_0=80.0, hidden_omega_0=30.0",24.4850,0.5639,0.5926,27.1614,0.0384,0.0597,0.0436,100,0.0001,mse
2026-05-01 13:51:56,siren,8,5,"first_omega_0=80.0, hidden_omega_0=30.0",24.4892,0.5641,0.5918,27.1714,0.0384,0.0596,0.0436,100,0.0001,mse
2026-05-01 13:56:12,siren,8,6,"first_omega_0=80.0, hidden_omega_0=30.0",24.4818,0.5639,0.5939,27.1519,0.0384,0.0597,0.0436,100,0.0001,mse
2026-05-01 14:00:34,siren,8,7,"first_omega_0=80.0, hidden_omega_0=30.0",24.4717,0.5630,0.5951,27.1265,0.0385,0.0598,0.0436,100,0.0001,mse
2026-05-01 14:05:10,siren,8,8,"first_omega_0=80.0, hidden_omega_0=30.0",24.4836,0.5639,0.5937,27.1539,0.0384,0.0597,0.0436,100,0.0001,mse
2026-05-01 14:09:34,siren,8,9,"first_omega_0=80.0, hidden_omega_0=30.0",24.4635,0.5625,0.5957,27.1102,0.0385,0.0598,0.0437,100,0.0001,mse
